player_name,poss,mp,raptor_offense,raptor_defense,raptor_total
Paul George,3977,1939,3.096958986,1.698119096,4.795078083
Taj Gibson,995,480,-2.825470359,-0.481882753,-3.307353112
Josh Giddey,5088,2367,-0.129282658,-2.335860319,-2.465142977
Shai Gilgeous-Alexander,5208,2416,5.012311545,0.161661015,5.173972561
Anthony Gill,1320,624,-1.182599993,-2.795327948,-3.977927941
Jacob Gilyard,87,41,-3.409289523,-3.045945932,-6.455235455
Rudy Gobert,4837,2325,-1.718514267,3.50524618,1.786731912
Jordan Goodwin,2345,1106,-0.935967651,1.595010902,0.659043251
Aaron Gordon,5715,2768,1.84691736,0.829676787,2.676594148
Eric Gordon,4498,2114,-0.689823508,-3.220692435,-3.910515943
Devonte' Graham,2848,1338,0.650632668,-1.184176895,-0.533544227
Jerami Grant,4636,2246,0.502790559,-0.86832411,-0.365533551
RaiQuan Gray,73,35,-2.655142698,-2.939430031,-5.594572729
AJ Green,740,345,0.801509474,-2.784883197,-1.983373723
Danny Green,366,178,-3.515195642,0.4744483,-3.040747341
Draymond Green,5768,2664,-0.961476046,3.530403158,2.568927112
JaMychal Green,1852,846,-1.976458122,-1.941416856,-3.917874979
Javonte Green,1023,480,-0.438050633,3.694191601,3.256140967
Jalen Green,5456,2602,1.472461168,-2.906900403,-1.434439235
Jeff Green,2943,1434,-3.941061254,-1.151001109,-5.092062363
Josh Green,3173,1539,-1.10800131,1.02534539,-0.08265592
AJ Griffin,2997,1401,0.375474639,-0.588584137,-0.213109498
Blake Griffin,1197,575,-1.027618559,5.708496347,4.680877788
Quentin Grimes,4807,2363,0.439616022,-0.407355099,0.032260923
Rui Hachimura,3939,1854,-1.709425748,0.256620144,-1.452805604
Tyrese Haliburton,3980,1883,6.90247665,-0.996754181,5.90572247
Jordan Hall,176,83,-9.104988388,-5.838660583,-14.94364897
R.J. Hampton,1558,750,-1.385318919,-1.712727477,-3.098046396
Tim Hardaway Jr.,4367,2152,1.055239155,1.683513135,2.738752291
James Harden,5091,2562,4.836494707,-0.004251538,4.832243169
Jaden Hardy,1495,708,-0.332121331,-2.67598955,-3.008110881
Ron Harper Jr.,98,48,6.416463658,-0.846309541,5.570154117
Montrezl Harrell,1451,688,-1.428317966,2.509877897,1.081559932
Gary Harris,2478,1184,0.123672415,-1.090281193,-0.966608778
Joe Harris,3276,1571,-0.838015188,-1.894270422,-2.73228561
Kevon Harris,960,457,-1.537395321,0.491055979,-1.046339342
Shaquille Harrison,320,148,3.02455822,0.603532009,3.628090229
Tobias Harris,5657,2828,0.274536995,-0.350792924,-0.076255929
Isaiah Hartenstein,3824,1846,-1.052077526,3.025829619,1.973752093
Josh Hart,5752,2807,1.234907039,1.558959348,2.793866387
Udonis Haslem,161,74,-6.969325536,5.809370613,-1.159954922
Sam Hauser,2946,1394,1.11280806,0.983922451,2.096730511
Jaxson Hayes,1300,610,-3.894882005,0.653372632,-3.241509373
Killian Hayes,4498,2154,-2.449600845,0.42943745,-2.020163395
Gordon Hayward,3384,1577,-1.895222438,0.27629859,-1.618923848
Juancho Hernangomez,1269,614,-2.636866204,-1.064779617,-3.701645821
Willy Hernangomez,995,458,-1.683499618,1.460894606,-0.222605012
Tyler Herro,4772,2356,1.317230367,-1.361586348,-0.04435598
Buddy Hield,5277,2482,1.847194563,-0.119786416,1.727408147
Haywood Highsmith,2307,1130,-3.413855022,1.789490943,-1.624364079
George Hill,1777,834,-1.349539955,0.944819168,-0.404720787
Malcolm Hill,23,9,-2.950544762,3.905947666,0.955402905
Aaron Holiday,1826,849,-1.398336188,2.478556244,1.080220056
Jrue Holiday,5086,2374,3.585546285,2.121102398,5.706648683
Justin Holiday,1536,706,-4.434689821,-2.046272383,-6.480962204
Richaun Holmes,743,348,-3.89438266,-4.550678668,-8.445061328
Al Horford,5234,2539,-0.045086555,2.017190161,1.972103606
Talen Horton-Tucker,2830,1313,-1.118910888,-0.13560743,-1.254518318
Danuel House Jr.,1786,849,-1.92300492,-1.536823882,-3.459828802
Caleb Houstan,1703,812,-2.033357367,-2.197999235,-4.231356603
Trevor Hudgins,57,28,-4.862468331,-1.201900927,-6.064369258
Kevin Huerter,5006,2386,1.848317938,-1.743864647,0.10445329
Jay Huff,214,95,2.181778435,-3.782936655,-1.60115822
De'Andre Hunter,5026,2350,-1.07046881,-0.984103099,-2.054571909
Bones Hyland,2412,1167,1.107309253,-1.488283394,-0.380974141
Serge Ibaka,382,185,-5.006822036,0.525781582,-4.481040454
Andre Iguodala,256,113,-1.83651355,1.788443217,-0.048070333
Joe Ingles,2456,1133,0.864692932,-1.320297695,-0.455604764
Brandon Ingram,3168,1538,1.776074235,-0.954531942,0.821542293
Kyrie Irving,4597,2241,5.614029838,0.35383528,5.967865118
Jonathan Isaac,257,124,2.121324216,3.49861382,5.619938035
