offense_shortened,offense_decimal,defense_shortened,defense_decimal,total_shortened,total_decimal
[-2.0],[0.2517218590000001],[-2.0],[[0.2517218590000001]],[-2.0],[0.2517218590000001]
[-3.0],[0.6234518420000001],[-3.0],[[0.6234518420000001]],[-3.0],[0.6234518420000001]
[0.0],[0.577518807],[0.0],[[0.577518807]],[0.0],[0.577518807]
[0.0],[0.143331665],[0.0],[[0.143331665]],[0.0],[0.143331665]
[-1.0],[0.34372687999999996],[-1.0],[[0.34372687999999996]],[-1.0],[0.34372687999999996]
[-3.0],[0.563768987],[-3.0],[[0.563768987]],[-3.0],[0.563768987]
[-2.0],[0.29065937],[-2.0],[[0.29065937]],[-2.0],[0.29065937]
[-2.0],[0.7108866709999999],[-2.0],[[0.7108866709999999]],[-2.0],[0.7108866709999999]
[-1.0],[0.284798601],[-1.0],[[0.284798601]],[-1.0],[0.284798601]
[-4.0],[0.255965647],[-4.0],[[0.255965647]],[-4.0],[0.255965647]
[2.0],[0.5365721240000001],[2.0],[[0.5365721240000001]],[2.0],[0.5365721240000001]
[-1.0],[0.94371545],[-1.0],[[0.94371545]],[-1.0],[0.94371545]
[-4.0],[0.2974314869999999],[-4.0],[[0.2974314869999999]],[-4.0],[0.2974314869999999]
[-1.0],[0.694330626],[-1.0],[[0.694330626]],[-1.0],[0.694330626]
[-3.0],[0.34087679300000007],[-3.0],[[0.34087679300000007]],[-3.0],[0.34087679300000007]
[1.0],[0.707711],[1.0],[[0.707711]],[1.0],[0.707711]
[-6.0],[0.01580491400000028],[-6.0],[[0.01580491400000028]],[-6.0],[0.01580491400000028]
[-1.0],[0.744462688],[-1.0],[[0.744462688]],[-1.0],[0.744462688]
[-4.0],[0.44124344000000004],[-4.0],[[0.44124344000000004]],[-4.0],[0.44124344000000004]
[-3.0],[0.7791982709999998],[-3.0],[[0.7791982709999998]],[-3.0],[0.7791982709999998]
[3.0],[0.12745440899999982],[3.0],[[0.12745440899999982]],[3.0],[0.12745440899999982]
[2.0],[0.014861380999999785],[2.0],[[0.014861380999999785]],[2.0],[0.014861380999999785]
[-4.0],[0.6735684000000002],[-4.0],[[0.6735684000000002]],[-4.0],[0.6735684000000002]
[-12.0],[0.8048796100000004],[-12.0],[[0.8048796100000004]],[-12.0],[0.8048796100000004]
[6.0],[0.044339993000000355],[6.0],[[0.044339993000000355]],[6.0],[0.044339993000000355]
[0.0],[0.18602346],[0.0],[[0.18602346]],[0.0],[0.18602346]
[-1.0],[0.740723699],[-1.0],[[0.740723699]],[-1.0],[0.740723699]
[-4.0],[0.2136354410000001],[-4.0],[[0.2136354410000001]],[-4.0],[0.2136354410000001]
[-8.0],[0.6804105849999997],[-8.0],[[0.6804105849999997]],[-8.0],[0.6804105849999997]
[-2.0],[0.966632623],[-2.0],[[0.966632623]],[-2.0],[0.966632623]
[-3.0],[0.29455848399999995],[-3.0],[[0.29455848399999995]],[-3.0],[0.29455848399999995]
[5.0],[0.03249932000000033],[5.0],[[0.03249932000000033]],[5.0],[0.03249932000000033]
[-3.0],[0.4090945079999999],[-3.0],[[0.4090945079999999]],[-3.0],[0.4090945079999999]
[1.0],[0.31845277299999997],[1.0],[[0.31845277299999997]],[1.0],[0.31845277299999997]
[-2.0],[0.3747905469999999],[-2.0],[[0.3747905469999999]],[-2.0],[0.3747905469999999]
[2.0],[0.027653631999999817],[2.0],[[0.027653631999999817]],[2.0],[0.027653631999999817]
[-3.0],[0.7850671230000001],[-3.0],[[0.7850671230000001]],[-3.0],[0.7850671230000001]
[-2.0],[0.687391563],[-2.0],[[0.687391563]],[-2.0],[0.687391563]
[-11.0],[0.7112493700000009],[-11.0],[[0.7112493700000009]],[-11.0],[0.7112493700000009]
[-1.0],[0.916043032],[-1.0],[[0.916043032]],[-1.0],[0.916043032]
[-5.0],[0.7827118369999999],[-5.0],[[0.7827118369999999]],[-5.0],[0.7827118369999999]
[1.0],[0.20933915200000008],[1.0],[[0.20933915200000008]],[1.0],[0.20933915200000008]
[-6.0],[0.7848129779999997],[-6.0],[[0.7848129779999997]],[-6.0],[0.7848129779999997]
[-2.0],[0.35349712899999997],[-2.0],[[0.35349712899999997]],[-2.0],[0.35349712899999997]
[5.0],[0.7334728549999996],[5.0],[[0.7334728549999996]],[5.0],[0.7334728549999996]
[-1.0],[0.32536130500000005],[-1.0],[[0.32536130500000005]],[-1.0],[0.32536130500000005]
[-3.0],[0.3803652670000002],[-3.0],[[0.3803652670000002]],[-3.0],[0.3803652670000002]
[2.0],[0.9809227960000002],[2.0],[[0.9809227960000002]],[2.0],[0.9809227960000002]
[-2.0],[0.9462193050000001],[-2.0],[[0.9462193050000001]],[-2.0],[0.9462193050000001]
[0.0],[0.887152666],[0.0],[[0.887152666]],[0.0],[0.887152666]
[5.0],[0.5298269920000003],[5.0],[[0.5298269920000003]],[5.0],[0.5298269920000003]
[-7.0],[0.8131667650000001],[-7.0],[[0.8131667650000001]],[-7.0],[0.8131667650000001]
[1.0],[0.08181095599999999],[1.0],[[0.08181095599999999]],[1.0],[0.08181095599999999]
[0.0],[0.561334864],[0.0],[[0.561334864]],[0.0],[0.561334864]
[-8.0],[0.28501365899999964],[-8.0],[[0.28501365899999964]],[-8.0],[0.28501365899999964]
[-2.0],[0.22739786100000003],[-2.0],[[0.22739786100000003]],[-2.0],[0.22739786100000003]
[0.0],[0.558526823],[0.0],[[0.558526823]],[0.0],[0.558526823]
[-12.0],[0.5789691999999995],[-12.0],[[0.5789691999999995]],[-12.0],[0.5789691999999995]
[-2.0],[0.29762465400000004],[-2.0],[[0.29762465400000004]],[-2.0],[0.29762465400000004]
[-3.0],[0.723051677],[-3.0],[[0.723051677]],[-3.0],[0.723051677]
[-2.0],[0.7867151210000001],[-2.0],[[0.7867151210000001]],[-2.0],[0.7867151210000001]
[-1.0],[0.857148097],[-1.0],[[0.857148097]],[-1.0],[0.857148097]
[4.0],[0.34904270599999965],[4.0],[[0.34904270599999965]],[4.0],[0.34904270599999965]
[-1.0],[0.41387186499999995],[-1.0],[[0.41387186499999995]],[-1.0],[0.41387186499999995]
[-3.0],[0.567720343],[-3.0],[[0.567720343]],[-3.0],[0.567720343]
[-4.0],[0.883064852],[-4.0],[[0.883064852]],[-4.0],[0.883064852]
[-4.0],[0.6898110549999998],[-4.0],[[0.6898110549999998]],[-4.0],[0.6898110549999998]
[-1.0],[0.224228945],[-1.0],[[0.224228945]],[-1.0],[0.224228945]
[2.0],[0.2316813350000002],[2.0],[[0.2316813350000002]],[2.0],[0.2316813350000002]
[-1.0],[0.559408362],[-1.0],[[0.559408362]],[-1.0],[0.559408362]
[-4.0],[0.035799808999999794],[-4.0],[[0.035799808999999794]],[-4.0],[0.035799808999999794]
[-3.0],[0.4681831299999999],[-3.0],[[0.4681831299999999]],[-3.0],[0.4681831299999999]
[-2.0],[0.522275909],[-2.0],[[0.522275909]],[-2.0],[0.522275909]
[-7.0],[0.43165615499999976],[-7.0],[[0.43165615499999976]],[-7.0],[0.43165615499999976]
[2.0],[0.4682656839999999],[2.0],[[0.4682656839999999]],[2.0],[0.4682656839999999]
[-1.0],[0.7120192830000001],[-1.0],[[0.7120192830000001]],[-1.0],[0.7120192830000001]
[-4.0],[0.7197027820000002],[-4.0],[[0.7197027820000002]],[-4.0],[0.7197027820000002]
[-1.0],[0.50827442],[-1.0],[[0.50827442]],[-1.0],[0.50827442]
[-2.0],[0.7453381400000001],[-2.0],[[0.7453381400000001]],[-2.0],[0.7453381400000001]
[0.0],[0.063632151],[0.0],[[0.063632151]],[0.0],[0.063632151]
[-3.0],[0.09288797799999982],[-3.0],[[0.09288797799999982]],[-3.0],[0.09288797799999982]
[-3.0],[0.8067728779999999],[-3.0],[[0.8067728779999999]],[-3.0],[0.8067728779999999]
[-1.0],[0.24649257400000002],[-1.0],[[0.24649257400000002]],[-1.0],[0.24649257400000002]
[7.0],[0.48371194799999984],[7.0],[[0.48371194799999984]],[7.0],[0.48371194799999984]
[-4.0],[0.9345184689999999],[-4.0],[[0.9345184689999999]],[-4.0],[0.9345184689999999]
[2.0],[0.5117263489999999],[2.0],[[0.5117263489999999]],[2.0],[0.5117263489999999]
[-3.0],[0.6506471290000002],[-3.0],[[0.6506471290000002]],[-3.0],[0.6506471290000002]
[-5.0],[0.27693485100000004],[-5.0],[[0.27693485100000004]],[-5.0],[0.27693485100000004]
[-1.0],[0.77163927],[-1.0],[[0.77163927]],[-1.0],[0.77163927]
[4.0],[0.12524601400000002],[4.0],[[0.12524601400000002]],[4.0],[0.12524601400000002]
[-4.0],[0.7834401340000001],[-4.0],[[0.7834401340000001]],[-4.0],[0.7834401340000001]
[-5.0],[0.8495010729999999],[-5.0],[[0.8495010729999999]],[-5.0],[0.8495010729999999]
[2.0],[0.21673041199999998],[2.0],[[0.21673041199999998]],[2.0],[0.21673041199999998]
[-2.0],[0.384885465],[-2.0],[[0.384885465]],[-2.0],[0.384885465]
[-7.0],[0.14524030200000038],[-7.0],[[0.14524030200000038]],[-7.0],[0.14524030200000038]
[-2.0],[0.692998134],[-2.0],[[0.692998134]],[-2.0],[0.692998134]
[-7.0],[0.6554144160000002],[-7.0],[[0.6554144160000002]],[-7.0],[0.6554144160000002]
[-3.0],[0.6216144090000002],[-3.0],[[0.6216144090000002]],[-3.0],[0.6216144090000002]
[1.0],[0.7230818000000001],[1.0],[[0.7230818000000001]],[1.0],[0.7230818000000001]
[-1.0],[0.6675804670000001],[-1.0],[[0.6675804670000001]],[-1.0],[0.6675804670000001]
[8.0],[0.27246995399999996],[8.0],[[0.27246995399999996]],[8.0],[0.27246995399999996]
[13.0],[0.6760972299999999],[13.0],[[0.6760972299999999]],[13.0],[0.6760972299999999]
[-1.0],[0.18475103800000003],[-1.0],[[0.18475103800000003]],[-1.0],[0.18475103800000003]
[-3.0],[0.09409152500000006],[-3.0],[[0.09409152500000006]],[-3.0],[0.09409152500000006]
[-5.0],[0.21946973399999958],[-5.0],[[0.21946973399999958]],[-5.0],[0.21946973399999958]
[-1.0],[0.638175626],[-1.0],[[0.638175626]],[-1.0],[0.638175626]
[-6.0],[0.12586973300000004],[-6.0],[[0.12586973300000004]],[-6.0],[0.12586973300000004]
[-2.0],[0.912379552],[-2.0],[[0.912379552]],[-2.0],[0.912379552]
[-2.0],[0.2603360290000001],[-2.0],[[0.2603360290000001]],[-2.0],[0.2603360290000001]
[-2.0],[0.273759458],[-2.0],[[0.273759458]],[-2.0],[0.273759458]
[-4.0],[0.74298186],[-4.0],[[0.74298186]],[-4.0],[0.74298186]
[2.0],[0.13653648500000015],[2.0],[[0.13653648500000015]],[2.0],[0.13653648500000015]
[4.0],[0.817806526],[4.0],[[0.817806526]],[4.0],[0.817806526]
[-2.0],[0.07945668800000005],[-2.0],[[0.07945668800000005]],[-2.0],[0.07945668800000005]
[-1.0],[0.311770047],[-1.0],[[0.311770047]],[-1.0],[0.311770047]
[2.0],[0.01994565599999998],[2.0],[[0.01994565599999998]],[2.0],[0.01994565599999998]
[-1.0],[0.08113266100000005],[-1.0],[[0.08113266100000005]],[-1.0],[0.08113266100000005]
[0.0],[0.206815783],[0.0],[[0.206815783]],[0.0],[0.206815783]
[3.0],[0.7248741750000001],[3.0],[[0.7248741750000001]],[3.0],[0.7248741750000001]
[-2.0],[0.37949611000000005],[-2.0],[[0.37949611000000005]],[-2.0],[0.37949611000000005]
[-3.0],[0.7263011879999999],[-3.0],[[0.7263011879999999]],[-3.0],[0.7263011879999999]
[-3.0],[0.8251061220000002],[-3.0],[[0.8251061220000002]],[-3.0],[0.8251061220000002]
[-2.0],[0.292561874],[-2.0],[[0.292561874]],[-2.0],[0.292561874]
[-4.0],[0.5395666499999998],[-4.0],[[0.5395666499999998]],[-4.0],[0.5395666499999998]
[-4.0],[0.17499011899999983],[-4.0],[[0.17499011899999983]],[-4.0],[0.17499011899999983]
[-4.0],[0.24083898800000014],[-4.0],[[0.24083898800000014]],[-4.0],[0.24083898800000014]
[-17.0],[0.27473335999999904],[-17.0],[[0.27473335999999904]],[-17.0],[0.27473335999999904]
[-3.0],[0.12184245300000018],[-3.0],[[0.12184245300000018]],[-3.0],[0.12184245300000018]
[4.0],[0.4117885020000003],[4.0],[[0.4117885020000003]],[4.0],[0.4117885020000003]
[-1.0],[0.7258202899999999],[-1.0],[[0.7258202899999999]],[-1.0],[0.7258202899999999]
[-2.0],[0.809506778],[-2.0],[[0.809506778]],[-2.0],[0.809506778]
[0.0],[0.373926754],[0.0],[[0.373926754]],[0.0],[0.373926754]
[3.0],[0.5728539600000002],[3.0],[[0.5728539600000002]],[3.0],[0.5728539600000002]
[-3.0],[0.3771069979999999],[-3.0],[[0.3771069979999999]],[-3.0],[0.3771069979999999]
[4.0],[0.7581958100000001],[4.0],[[0.7581958100000001]],[4.0],[0.7581958100000001]
[-3.0],[0.05439935099999982],[-3.0],[[0.05439935099999982]],[-3.0],[0.05439935099999982]
[3.0],[0.09695898600000019],[3.0],[[0.09695898600000019]],[3.0],[0.09695898600000019]
[-3.0],[0.1745296409999999],[-3.0],[[0.1745296409999999]],[-3.0],[0.1745296409999999]
[-1.0],[0.8707173420000001],[-1.0],[[0.8707173420000001]],[-1.0],[0.8707173420000001]
