name,posessions,minutes,offense,defense,total
KZ Okpala,552,248,-4.0,4.0,0.0
Victor Oladipo,2355,1151,-2.0,1.0,-1.0
Kelly Olynyk,4082,1942,0.0,0.0,0.0
Eugene Omoruyi,1335,645,-2.0,1.0,-1.0
Royce O'Neale,5168,2527,-1.0,0.0,-1.0
Cedi Osman,3332,1641,0.0,0.0,0.0
Kelly Oubre Jr.,3287,1548,-1.0,0.0,0.0
Chris Paul,4358,2139,2.0,-1.0,1.0
Cameron Payne,2341,1120,0.0,-2.0,-1.0
Gary Payton II,1171,559,0.0,-2.0,-1.0
Theo Pinson,699,323,-1.0,-4.0,-5.0
Scotty Pippen Jr.,67,32,-4.0,5.0,1.0
Mason Plumlee,4561,2145,1.0,-1.0,0.0
Jakob Poeltl,3992,1906,0.0,0.0,0.0
Aleksej Pokusevski,1516,701,-3.0,0.0,-3.0
Jordan Poole,5955,2742,-2.0,-2.0,-4.0
Kevin Porter Jr.,4208,2024,1.0,-1.0,1.0
Michael Porter Jr.,5078,2452,1.0,-2.0,-1.0
Otto Porter Jr.,306,146,-2.0,-1.0,-3.0
Bobby Portis,4103,1925,-1.0,-1.0,-1.0
Kristaps Porzingis,4381,2120,3.0,1.0,4.0
Micah Potter,117,52,-1.0,3.0,3.0
Dwight Powell,2969,1458,-1.0,1.0,0.0
Norman Powell,3672,1734,0.0,-2.0,-2.0
Jason Preston,266,125,-1.0,-3.0,-4.0
Joshua Primo,207,93,-4.0,2.0,-1.0
Taurean Prince,2818,1292,-3.0,-2.0,-4.0
Payton Pritchard,1450,700,-1.0,-1.0,-2.0
Trevelin Queen,152,70,-6.0,-2.0,-7.0
Neemias Queta,70,29,-7.0,-4.0,-10.0
Immanuel Quickley,5134,2519,0.0,2.0,3.0
Lester Quinones,41,18,-8.0,6.0,-2.0
Julius Randle,6218,3067,2.0,-2.0,0.0
Austin Reaves,5167,2422,3.0,1.0,4.0
Cam Reddish,2091,990,-4.0,-2.0,-5.0
Davon Reed,729,342,-6.0,0.0,-6.0
Paul Reed,1874,912,0.0,3.0,3.0
Naz Reid,2721,1251,-2.0,0.0,-1.0
Jared Rhoden,408,198,-3.0,-1.0,-3.0
Josh Richardson,3276,1530,-1.0,-1.0,-2.0
Nick Richards,2583,1217,-1.0,-2.0,-3.0
Austin Rivers,2262,1062,-3.0,-3.0,-6.0
Duncan Robinson,2253,1109,0.0,-3.0,-3.0
Jeremiah Robinson-Earl,1758,814,-2.0,-2.0,-3.0
Mitchell Robinson,3802,1889,0.0,2.0,3.0
Orlando Robinson,864,425,-2.0,-1.0,-2.0
Isaiah Roby,1027,474,-5.0,-2.0,-6.0
David Roddy,2851,1334,-3.0,-1.0,-4.0
Ryan Rollins,135,62,-16.0,-8.0,-24.0
Derrick Rose,739,341,-5.0,-1.0,-5.0
Terrence Ross,2935,1399,-1.0,-2.0,-3.0
Terry Rozier,4714,2221,0.0,-1.0,-1.0
Ricky Rubio,1192,583,-4.0,4.0,0.0
D'Angelo Russell,5848,2777,2.0,-2.0,0.0
Matt Ryan,687,310,-2.0,-3.0,-5.0
Domantas Sabonis,6254,2979,2.0,0.0,2.0
Luka Samanic,354,161,-3.0,-1.0,-4.0
Dario Saric,1693,806,-1.0,0.0,-1.0
Olivier Sarr,240,114,-3.0,-4.0,-7.0
Jordan Schakel,12,6,11.0,11.0,23.0
Admiral Schofield,941,451,-2.0,-3.0,-5.0
Dennis Schroder,5078,2403,-1.0,-1.0,-1.0
Jay Scrubb,64,30,1.0,-7.0,-5.0
Dereon Seabron,25,12,-1.0,-3.0,-4.0
Alperen Sengun,4522,2171,0.0,1.0,1.0
Collin Sexton,2440,1145,1.0,-2.0,-1.0
Landry Shamet,2085,991,-1.0,1.0,0.0
Day'Ron Sharpe,1216,572,-2.0,-6.0,-8.0
Shaedon Sharpe,3743,1779,-3.0,-3.0,-6.0
Pascal Siakam,5424,2652,2.0,-2.0,0.0
Chris Silva,8,3,-14.0,10.0,-4.0
Ben Simmons,2304,1105,-2.0,0.0,-1.0
Kobi Simmons,60,28,-7.0,2.0,-4.0
Anfernee Simons,4488,2171,1.0,-1.0,1.0
Marko Simonovic,49,20,-7.0,-7.0,-13.0
Jericho Sims,1646,812,-3.0,-1.0,-3.0
Marcus Smart,5478,2636,0.0,0.0,1.0
Dennis Smith Jr.,2957,1390,-4.0,3.0,0.0
Dru Smith,331,158,-3.0,1.0,-2.0
Ish Smith,864,410,-5.0,-1.0,-6.0
Jalen Smith,2759,1279,-3.0,-2.0,-4.0
Jabari Smith Jr.,5124,2451,-4.0,-2.0,-5.0
Xavier Sneed,105,48,-5.0,-1.0,-6.0
Jeremy Sochan,3109,1458,-2.0,-1.0,-2.0
Jaden Springer,226,106,1.0,-1.0,0.0
Lamar Stevens,2275,1129,-4.0,0.0,-3.0
Isaiah Stewart,2982,1414,-3.0,-1.0,-3.0
Max Strus,5918,2920,-1.0,-2.0,-2.0
Jalen Suggs,2641,1246,-1.0,3.0,2.0
Edmond Sumner,1588,740,-2.0,-2.0,-3.0
Cole Swider,91,41,0.0,-5.0,-4.0
Jae'Sean Tate,1426,677,-2.0,1.0,-1.0
Jayson Tatum,7273,3531,4.0,-1.0,4.0
Terry Taylor,580,264,-3.0,-4.0,-6.0
Garrett Temple,362,162,-3.0,0.0,-2.0
Dalen Terry,458,214,-1.0,2.0,1.0
Daniel Theis,232,109,-3.0,-6.0,-9.0
Cam Thomas,2019,964,-1.0,-2.0,-3.0
Klay Thompson,5934,2747,0.0,-2.0,-1.0
Tristan Thompson,64,32,-6.0,3.0,-2.0
JT Thor,2068,969,-6.0,-1.0,-6.0
Matisse Thybulle,2542,1200,-3.0,2.0,0.0
Xavier Tillman,2915,1363,-2.0,1.0,0.0
Isaiah Todd,134,61,-14.0,-4.0,-17.0
Obi Toppin,2556,1225,-1.0,-1.0,-2.0
Juan Toscano-Anderson,1513,700,-5.0,-1.0,-5.0
Karl-Anthony Towns,2401,1137,-1.0,0.0,-1.0
Gary Trent Jr.,4408,2118,0.0,-1.0,-1.0
P.J. Tucker,4424,2214,-3.0,-1.0,-3.0
Myles Turner,3848,1825,-1.0,-1.0,-1.0
Stanley Umude,4,2,12.0,46.0,59.0
Jonas Valanciunas,4093,1968,-1.0,-2.0,-3.0
Jarred Vanderbilt,4492,2126,-2.0,-1.0,-2.0
Fred VanVleet,5188,2535,3.0,1.0,5.0
Devin Vassell,2544,1178,0.0,-1.0,-1.0
Gabe Vincent,4946,2431,-1.0,0.0,-1.0
Noah Vonleh,359,171,-5.0,-2.0,-7.0
Nikola Vucevic,5681,2746,-1.0,-1.0,-2.0
Dean Wade,1848,902,-3.0,1.0,-2.0
Franz Wagner,5497,2609,0.0,1.0,2.0
Moritz Wagner,2364,1109,-1.0,1.0,1.0
Ish Wainright,1979,936,-1.0,0.0,-1.0
Jabari Walker,1329,619,-5.0,-3.0,-8.0
Kemba Walker,292,144,2.0,-2.0,0.0
Lonnie Walker IV,3180,1476,-3.0,-3.0,-5.0
